what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1420017975572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1420017976012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420017976786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420017987853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420017988688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018006558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018007513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018009752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018009907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018064128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1420018070224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420018070701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018071340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018076624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1420018076728
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1420018078788
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1420018078803
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018086134
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018086226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018087788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018091177
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018091237
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018091256
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1420018091257
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018099022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018127696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018132788
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1420018135534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018144815
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1420018144863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018150464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420018163740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420018164003
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1420018200760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1420018208628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1420018213252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1420018213649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018214172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018254451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018258729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420018276507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1420018279786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1420018283019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1420018283242
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1420018283459
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1420018283658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1420018287387
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1420018296643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420018297101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420018297368
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1420018570072
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1420018570073
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1420018570074
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1420018570074
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1420018570075
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1420018570076
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1420018570077
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1420018570077
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1420018570078
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1420018570079
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1420018570080
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1420018570081
